time_ground,flux_ground
5.669183799999999707e+01,9.991919999999999691e-01
5.669530999999999921e+01,1.002213999999999938e+00
5.669878200000000135e+01,9.977409999999999890e-01
5.670225400000000349e+01,1.000302000000000024e+00
5.670572599999999852e+01,9.980560000000000542e-01
5.670919800000000066e+01,1.003878000000000048e+00
5.671267000000000280e+01,9.985060000000000047e-01
5.671614199999999784e+01,9.997500000000000275e-01
5.671961499999999745e+01,9.996099999999999985e-01
5.672308699999999959e+01,9.970890000000000031e-01
5.672655900000000173e+01,1.001271000000000022e+00
5.673003099999999677e+01,9.984359999999999902e-01
5.673350299999999891e+01,1.001889000000000030e+00
5.673697500000000105e+01,1.001737000000000100e+00
5.674044700000000319e+01,1.000529000000000002e+00
5.674391899999999822e+01,1.002296999999999993e+00
5.674739100000000036e+01,1.002418000000000031e+00
5.675086399999999998e+01,1.003435000000000077e+00
5.675433600000000212e+01,1.000421000000000005e+00
5.675780799999999715e+01,9.981719999999999482e-01
5.676127999999999929e+01,9.974420000000000508e-01
5.676475200000000143e+01,9.996599999999999930e-01
5.676822399999999647e+01,1.000690000000000079e+00
5.677169599999999861e+01,9.972290000000000321e-01
5.677516800000000075e+01,1.000710999999999906e+00
5.677864100000000036e+01,1.001689999999999969e+00
5.678211300000000250e+01,9.998580000000000245e-01
5.678558499999999754e+01,9.970470000000000166e-01
5.678905699999999968e+01,1.000953999999999899e+00
5.679252900000000182e+01,1.001654999999999962e+00
5.679600099999999685e+01,1.000742999999999938e+00
5.679947299999999899e+01,9.993389999999999773e-01
5.680294500000000113e+01,1.001209999999999933e+00
5.680641800000000075e+01,9.998759999999999870e-01
5.680989000000000289e+01,9.999080000000000190e-01
5.681336199999999792e+01,1.003322000000000047e+00
5.681683400000000006e+01,9.993769999999999598e-01
5.682030600000000220e+01,9.976859999999999618e-01
5.682377799999999723e+01,9.984870000000000134e-01
5.682724999999999937e+01,9.991999999999999771e-01
5.683072200000000151e+01,1.000798999999999994e+00
5.683419500000000113e+01,9.981459999999999777e-01
5.683766700000000327e+01,9.964129999999999932e-01
5.684113899999999830e+01,1.002096000000000098e+00
5.684461100000000044e+01,9.966970000000000551e-01
5.684808300000000258e+01,9.969909999999999606e-01
5.848692499999999939e+01,9.969869999999999566e-01
5.849039700000000153e+01,1.003181000000000100e+00
5.849386899999999656e+01,1.002868000000000093e+00
5.849734099999999870e+01,1.000901999999999958e+00
5.850081300000000084e+01,1.001927000000000012e+00
5.850428500000000298e+01,9.981940000000000257e-01
5.850775699999999802e+01,9.976779999999999538e-01
5.851122999999999763e+01,9.979559999999999542e-01
5.851470199999999977e+01,9.998550000000000493e-01
5.851817400000000191e+01,9.973109999999999475e-01
5.852164599999999695e+01,1.000834999999999919e+00
5.852511799999999909e+01,9.970989999999999576e-01
