time_space,flux_space
6.479861200000000565e+01,9.991160000000000041e-01
6.480011000000000365e+01,9.992950000000000443e-01
6.480160899999999913e+01,9.992130000000000178e-01
6.480310599999999965e+01,1.000594999999999901e+00
6.480459899999999607e+01,9.994459999999999456e-01
6.480610099999999818e+01,1.000145000000000062e+00
6.480759899999999618e+01,1.001206000000000040e+00
6.480909800000000587e+01,1.000925999999999982e+00
6.481059500000000639e+01,1.000404999999999989e+00
6.481209200000000692e+01,9.996800000000000130e-01
6.481359000000000492e+01,1.000040999999999958e+00
6.481508800000000292e+01,9.995039999999999480e-01
6.481658699999999840e+01,9.997859999999999525e-01
6.481808399999999892e+01,9.994729999999999448e-01
6.481958699999999851e+01,9.987049999999999539e-01
6.482107399999999586e+01,9.988540000000000196e-01
6.482257699999999545e+01,9.989970000000000239e-01
6.482407600000000514e+01,1.000444000000000111e+00
6.482557300000000566e+01,1.001700999999999953e+00
6.482706100000000049e+01,1.000621999999999900e+00
6.482856800000000419e+01,9.994499999999999496e-01
6.483006399999999303e+01,9.996549999999999603e-01
6.483156499999999767e+01,1.000227999999999895e+00
6.483306199999999819e+01,1.000285000000000091e+00
6.483455700000000377e+01,9.991560000000000441e-01
6.483605699999999672e+01,9.981710000000000305e-01
6.483755499999999472e+01,9.996030000000000193e-01
